,Requirement
1978,Information about a certain person is restricted to what is available on the employee pages of the TU/e
1979,The information and the search methods of the Encyclopedia-app are restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.
1980,The information and the search methods of the Studenthandbook-app are restricted depending on file format of the handbook-information.
1981,Response Time GIST: The fastness of the search SCALE: The response time of a search METER: Measurements obtained from 1000 searches during testing. MUST: No more than 2 seconds 100% of the time. WISH: No more than 1 second 100% of the time.
1982,"System Dependability GIST: The fault tolerance of the system. SCALE: If the system loses the connection to the Internet or to the GPS device or the system gets some strange input, the user should be informed. METER: Measurements obtained from 1000 hours of usage during testing. MUST: 100% of the time."
1983,Hard Drive Space GIST: Hard drive space. SCALE: The applicationâ€™s need of hard drive space. METER: MB. MUST: No more than 20 MB. PLAN: No more than 15 MB. WISH: No more than 10 MB. MB: DEFINED: Megabyte
1984,Application Memory Usage GIST: The amount of Operate System memory occupied by the application. SCALE: MB. METER: Observations done from the performance log during testing MUST: No more than 20 MB. PLAN: No more than 16 MB WISH: No more than 10 MB Operate System: DEFINED: The mobile Operate System which the application is running on. MB: DEFINED: Megabyte.
1985,System Reliability GIST: The reliability of the system. SCALE: The reliability that the system gives the right result on a search. METER: Measurements obtained from 1000 searches during testing. MUST: More than 98% of the searches. PLAN: More than 99% of the searches. WISH: 100% of the searches.
1986,System Availability GIST: The availability of the system when it is used. SCALE: The average system availability (not considering network failing). METER: Measurements obtained from 1000 hours of usage during testing. MUST: More than 98% of the time. PLAN: More than 99% of the time. WISH: 100% of the time.
1987,Internet Connection DESC: The application should be connected to the Internet.
1988,GPS Connection DESC: The application should be connected to the GPS device.
1989,"Communication Security GIST: Security of the communication between the system and server. SCALE: The messages should be encrypted for log-in communications, so others cannot get user-name and password from those messages. METER: Attempts to get user-name and password through obtained messages on 1000 log-in session during testing. MUST: 100% of the Communication Messages in the communication of a log-in session should be encrypted. Communication Messages: Defined: Every exchanged of information between client and server."
1990,Restaurant Owner Login Account Security GIST: Security of accounts. SCALE: If a restaurant owner tries to log in to the web portal with a non-existing account then the restaurant owner should not be logged in. The restaurant owner should be notified about log-in failure. METER: 1000 attempts to log-in with a non-existing user account during testing. MUST: 100% of the time.
1991,Admin Login Account Security GIST: Security of accounts. SCALE: If an admin tries to log in to the web portal with a non-existing account then the admin should not be logged in. The admin should be notified about log-in failure. METER: 1000 attempts to log-in with a non-existing user account during testing. MUST: 100% of the time.
1992,"Restaurant Owner Account Security GIST: Security of restaurant owners accounts. SCALE: A restaurant owner and IP address should not be able to log-in for a certain time period after three times of failed log-in attempts. METER: 1000 attempts to log-in during the lock period after user account has been locked because of failed log-in attempts of three times. MUST: The locking period should be half an hour, and during that period the log-in function is disabled."
1993,"Admin Account Security GIST: Security of admin accounts. SCALE: An admin and IP address should not be able to log-in to the web portal for a certain time period after three times of failed log-in attempts. METER: 1000 attempts to log-in during the lock period after user account has been locked because of failed log-in attempts of three times. MUST: The locking period should be half an hour, and during that period the log-in function is disabled."
1994,"User Create Account Security GIST: The security of creating account for users of the system. SCALE: If a user wants to create an account and the desired user name is occupied, the user should be asked to choose a different user name. METER: Measurements obtained on 1000 hours of usage during testing. MUST: 100% of the time."
1995,"Restaurant Owner Create Account Security GIST: The security of creating account for restaurant owners of the system. SCALE: If a restaurant owner wants to create an account and the desired user name is occupied, the restaurant owner should be asked to choose a different user name. METER: Measurements obtained on 1000 hours of usage during testing. MUST: 100% of the time."
1996,Application extendibility DESC: The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.
1997,Application testability DESC: Test environments should be built for the application to allow testing of the applications different functions.
1998,Application portability DESC: The application should be portable with iOS and Android.
1999,Performance Requirements 10000 users should be able to use the system at the same time. The response time of the system should be 2 seconds at most.
2000,Design Constraints We will use â€œwaterfall methodâ€ and Object â€“ Oriented Programming paradigm. We will use Java as programming language. The Android version of the device should be 2.3 or higher. The system requires Internet connection all the time.
2001,â€‹ The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.
2002,The overall accuracy of the Web APIâ€™s response will be measured using a developer-made testing set.
2003,The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked.
2004,The accuracy of the Generic Question Constructionâ€‹ part will be close to 80% 
2005,Modularity  The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out. 
2006,"The overall accuracy of the Web APIâ€™s response will be measured using a developer-made testing set. The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked. The accuracy of the Generic Question Constructionâ€‹ part will be close to 80%. The accuracy of the Generic Answer Constructionâ€‹ unit will be close to 70% The accuracy of the Generic Answer Populationâ€‹ unit will be close to 70% Drexel facilitiesâ€™ locations and schedules will have accuracy greater than 70%  â€‹ Drexel staffâ€™s office locations, contact information, and positions will have accuracy greater than 70%. â€‹ Drexel policies including academics, admissions, information technology etc. will have accuracy greater than 70%.â€‹ â€‹ On-campus dining locations, hours, food types, etc. will have accuracy greater than 50%. â€‹ Food trucksâ€™ general locations, hours, and food types on Drexel Campus will have accuracy greater than 40%. "
2007,"Fast Response The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds"
2008,"Security The connection between the Web API and the programs will use HTTPS, for security."
2009,Ease of Useâ€‹ A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.
2010,The search feature should be prominent and easy to find for the user.
2011,"The different search options should be evident, simple and easy to understand."
2012,The results displayed in the list view should be user friendly and easy to understand. Selecting an element in the result list should only take one click.
2013,The results displayed in the map view should be user friendly and easy to understand. Selecting a pin on the map should only take one click.
2014,The information link should be prominent and it should be evident that it is a usable link. Selecting the information link should only take one click.
2015,The user interface must be GUI based.
2016,The users are required to input the data from cell phone keypad
2017,User has the options to change the settings locally and remotely.
2018,Reduce the typing option by giving support for select menus.
2019,The primary performance requirement is speed of the network.  The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.
2020,"There are no safety requirements with this application, other than any normal hazards of a mobile device.  The only hazard is a user using the device when they should not be, such as while driving."
2021,The application must be able to link up with the INTERNAL system in order for users to properly log in and be identified.  This information must be kept secure.
2022,"The primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen, as well as the userâ€™s ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer."
2023,"With regards to the intended number of users in the Amsterdam pilot, and the projected load scenarios, the intention is for the system to be able to serve 20.000 queries / day (in large part during the 4 peak traffic hours)."
2024,"In order to create a viable offering for the user we will have to build a simple, transparent system that can be understood and trusted by the people that are using it."
2025,"Anonimization & aggregation, so that route information may be shared safely without disclosing personal information."
2026,"Encryption, for all data that is privacy sensitive, but must be persisted on the server in order for basic functionality. "
2027,Permit the use of unverified (anonymous) avatars / aliases.
2028,Give control to end-users over private data (at least a delete private repository option)
2029,"The system should be language agnostic, since portability is a prime goal of the overall project. English, turkish, Finnish, and Italian should be at least be supported because these are the replication partners."
2030,All text elements in the user interfaces are presented in the selected language English and Dutch.
2031,Sub-apps and their launchers can be added to the main app by a qualified programmer.
2032,Sub-apps and their launchers in the main app can be deleted by a qualified programmer.
2033,"The application maintainer should also be able to change the (lists of) information sources of the sub-applications: agenda, news, Facebook and Twitter "
2034,"Application maintainers should be able to maintain the application, without having knowledge about Java Android programming. They should be able to modify the approximate appearance of the application. This means the colors, and GUI figures in the applications, but not the addition/deletion of GUI elements."
2035,"Application will be extendable. This means that a skilled Java Android programmer should be able to easily add a new sub-application to insApption, and add a launcher to it in the main-application."
2036,Users must be a Radford University student in order to access the automatic class schedule and assignment sharing features of this application Users can authenticate by logging in using their RU username and password.
2037,Most functionality will not require network connectivity.  System components that require authentication through Radford University and network connectivity will function as long as the systems maintained by the University are available.
2038,The development team will follow best practices for clean code and software modularity in order to make the application as maintainable as possible.
2039,Users will be able to access this application on or off campus anytime on their mobile device without the need of an internet connection.
2040,"The application will be highly extensible in terms of adding course and calendar details or views.  However, the application in general has low extensibility."
2041,An application instance shall be able to be reusable every semester for a returning student.The user will be able to update their class schedule by having the application check for a registered schedule set for the next semester and if the current school semester is over.Application components will be able to be integrated into the larger RU Mobile application developed and maintained by Radford University.
2042,The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.
2043,The accuracy of the Generic Question Constructionâ€‹ part will be close to 80%.
2044,The accuracy of the Generic Answer Constructionâ€‹ unit will be close to 70%.
2045,The accuracy of the Generic Answer Populationâ€‹ unit will be close to 70%.
2046,"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds."
2047,"The connection between the Web API and the programs will use HTTPS, for security."
2048,A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.
2049,"FAU class contains requirements for recording the occurrence of security relevant events that take place under TSF control. This family identifies the level of auditing, enumerates the types of events that shall be auditable by the TSF, and identifies the minimum set of audit related information that should be provided within various audit record types. The following extended requirement for the FAU class has been included in this ST because the operational environment is capable of providing security audit generation for TSF functions."
2050,"Performance should not be an issue because all of our server queries involve small pieces of data. Changing screens will require very little computation and thus will occur very quickly. Server updates should only take a few seconds as long as the phone can maintain a steady signal. The cost-division algorithms used by in application will be highly efficient, taking only a fraction of a second to compute."
2051,SplitPay will not affect data stored outside of its servers nor will it affect any other applications installed on the userâ€™s phone. It cannot cause any damage to the phone or its internal components. The only potential safety concern associated with this application applies to virtually all handset apps: SplitPay should not be used while operating a vehicle or in any other situation where the userâ€™s attention must be focused elsewhere.
2052,"This application assumes that only the user or whoever he/she allows will have access to his/her Android handset. With that being said, only a Google email address is required to verify the identity of the user upon opening the app. Since it is not password protected, there is no method to authenticate the userâ€™s identity. This could only pose a thread if a user has set up PayPal functionality, however any transaction involving real currency must be authorized and confirmed before becoming final. The PayPal API provides all of the security checks needed to ensure that no fraudulent transactions occur."
2053,The graphical user interface of SplitPay is to be designed with usability as the first priority. The app will be presented and organized in a manner that is both visually appealing and easy for the user to navigate. There will be feedbacks and visual cues such as notifications to inform users of updates and pop-ups to provide users with instructions.
2054,"To ensure reliability and correctness, there will be zero tolerance for errors in the algorithm that computes and splits expenses between group members. To maintain flexibility and adaptability, the app will take into account situations in which a user loses internet connection or for whatever reason cannot establish a connection with the server. These users will still be able to use the application, but any Bills, transactions, etc. posted while disconnected will be cached until the connection is restored."
2055,All text elements in the user interfaces are presented in the selected language (for language selection see requirement UCAR101. The available languages are mentioned in UCAR002 and UCAR003) 
2056,English is an available language. 
2057,Dutch is an available language.
2058,The administrator can change the colors used in the user interfaces of the sub-apps and main-app (this does not include the external resources).
2059,The administrator can change the fonts used in the user interfaces of the sub-apps and main-app (this does not include the external resources).
2060,The administrator can change icons used in the user interfaces of the sub-apps and main-app (this does not include the external resources).
2061,The administrator can change buttons used in the user interfaces of the sub-apps and main-app (this does not include the external resources).
2062,The administrator can change the background used in the user interfaces of the sub- apps and main-app (this does not include the external resources).
2063,The administrator can change text elements used in the user interfaces of the sub-apps and main-app (this does not include the external resources).
2064,The language can only be selected in the main app.
2065,The default language of insApption is English
2066,The main menu contains a launcher to the Map-app.3.1.3
2067,The main menu contains a launcher to the News-app.3.1.4
2068,The main menu contains a launcher to the Agenda-app.3.1.5
2069,The main menu contains a launcher to the Facebook-app.3.1.9
2070,The main menu contains a launcher to the Twitter-app.3.1.10
2071,The main menu contains a launcher to the Employee-finder-app.3.1.6
2072,"The main menu contains a launcher to the Encyclopedia-app, only if the Dutch language is selected.3.1.7"
2073,"The main menu contains a launcher to the Student handbook-app, only if the Dutch language is selected.3.1.8 "
2074,It is possible to â€œlikeâ€ insApption from within the main menu.
2075,It is possible to â€œtweetâ€ insApption from within the main menu.
2076,There is a link to a Twitter settings menu.
2077,There is a link to a Facebook settings menu.
2078,"In the settings menu for Twitter the user can save username in combination with password, regarding Twitter."
2079,"In the settings menu for Facebook the user can save username in combination with password, regarding Facebook."
2080,"In the settings menu for Twitter there is an option to delete the saved username in combination with the password, regarding Twitter."
2081,"In the settings menu for Facebook there is an option to delete the saved username in combination with the password, regarding Facebook."
2082,The application maintainer can modify the appearance of the separate launchers.
2083,It is possible to search for a certain building on the campus of the TU/e by name.
2084,It is possible to search for a certain building on the campus of the TU/e by address.
2085,It is possible to search for a certain POI on the campus of the TU/e by name.
2086,A search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings that match the search input.
2087,A search described in requirements UCAR203 results in a displayed set of POIâ€™s that match the search input.
2088,"It is possible to view an element from the search result described in UCAR201, UCAR202 and UCAR203 in the map view."
2089,It is possible to navigate from a building on the campus to another building on the campus.
2090,It is possible to navigate from a building on the campus to a POI on the campus.
2091,It is possible to navigate from a POI on the campus to a building on the campus.
2092,It is possible to navigate from a POI on the campus to a POI on the campus.
2093,It is possible to navigate from an POI on the campus to another location on the campus.
2094,It is possible to navigate from a street on the campus to another location on the campus.
2095,It is possible to switch between different means of transportation in the navigator.
2096,The from-location can be searched by the name of a building.
2097,The from-location can be searched by the address of a building.
2098,The from-location can be searched by the name of a POI.
2099,The from-location is selected from the search result described in UCAR211 and UCAR212.
2100,The from-location can be selected on the map.
2101,The to-location can be searched by the name of a building.
2102,The to-location can be searched by the address of a building.
2103,The to-location can be searched by the name of a POI.
2104,The to-location is selected from the search result described in UCAR215 and UCAR216.
2105,The to-location can be selected on the map.
2106,The route planned by the navigator is shown in the map view.
2107,The application has a map view in stylistic style.
2108,The application has a map view in satellite style.
2109,It is possible to switch between stylistic map view and satellite map view.
2110,It is possible to zoom when in the map view.
2111,It is possible to pan when in the map view.
2112,Current location is shown in the map view.
2113,POIâ€™s of a building are indicated.
2114,It is possible to â€œtweetâ€ the userâ€™s current location.
2115,It is possible to change the status on Facebook. The new status will indicate the userâ€™s current location.
2116,The administrator can change the stylistic map.
2117,The administrator can add buildings.
2118,The administrator can remove buildings.
2119,The administrator can add vertices of a path which is used in the route planner.
2120,The administrator can remove vertices of a path which is used in the route planner.
2121,The administrator can remove edges of a path which is used in the route planner.
2122,The administrator can add edges of a path which is used in the route planner.
2123,"The administrator can add POIâ€™s. A POI should belong to a certain building, floor and room number."
2124,"The administrator can remove POIâ€™s. A POI should belong to a certain building, floor and room number."
2125,"The administrator can link a POI to a certain building, floor and room."
2126,"The administrator can unlink a POI from a certain building, floor and room."
2127,Titles of all news items available through the news RSS-feeds are shown on the title screen.
2128,"From the first titles of the news articles, the first lines are shown."
2129,Full news report is shown after choosing the corresponding news title.
2130,It is possible to â€œlikeâ€ a certain news item.
2131,It is possible to â€œtweetâ€ a certain news item.
2132,The administrator can modify the list of news RSS-feeds that are available in English.
2133,The administrator can modify the list of news RSS-feeds that are available in Dutch.
2134,"When the agenda-app is started, upcoming events are shown on the title screen."
2135,There is a calender view.
2136,It is possible to open calendar view.
2137,It is possible to close calendar view.
2138,The user can change the calender to a different month.
2139,The user is able to see on which days events take place in calendar view.
2140,The current day is indicated on the calendar.
2141,By selecting a certain day in the calendar the events for that day are shown.
2142,It is possible to search for events by date.
2143,It is possible to search for events by subject.
2144,A search described in requirements UCAR406 and UCAR407 results in a displayed set of events that match the search input.
2145,It is possible to â€œlikeâ€ a certain event.
2146,It is possible to â€œtweetâ€ a certain event.
2147,The only events that are available in the agenda-app are extracted from the agenda RSS-feeds in the selected language.
2148,The administrator can modify the list of agenda RSS-feeds that are available in English.
2149,The administrator can modify the list of agenda RSS-feeds that are available in Dutch.
2150,It is possible to search a person by name.
2151,It is possible to search a person by department.
2152,A search described in requirements UCAR501 and UCAR502 results in a displayed set of employees that match the search input.
2153,It is possible to view all personal info available through the employee pages of a person in the search result set of requirement UCAR503.
2154,It is possible to show the location of the employeeâ€™s office in the map view (see 3.1.3).
2155,It is possible to plan a route to the location of the employeeâ€™s office (see 3.1.3).
2156,When the Encyclopedia-app is started the most searched items are shown on the title screen.
2157,When the Encyclopedia-app is started the most recent items are shown on the title screen.
2158,It is possible to search the book by a certain word or phrase.
2159,A search described in requirement UCAR602 results in a displayed set of topics.
2160,The user can select a topic from the search result list.
2161,By clicking on a topic the full text regarding that topic is shown.
2162,It is possible to â€œlikeâ€ a certain topic.
2163,It is possible to â€œtweetâ€ a certain topic.
2164,When the student handbook-app is started the most searched items are shown on the title screen.
2165,A search described in requirement UCAR702 results in a displayed set of topics.
2166,The user can select a topic from the search result described in requirement UCAR703.
2167,When the Facebook-app is started the page of TU/e on Facebook is shown on the title screen.
2168,Other TU/e related Facebook-sites can be selected from a list (see for contents of list requirement UCAR803).
2169,The administrator can modify the list of TU/e related Facebook-sites.
2170,When the Twitter-app is started the page of TU/e on Twitter is shown on the title screen.
2171,Other TU/e related Twitter-sites can be selected from a list (see for contents of list requirement UCAR903).
2172,The administrator can modify the list of TU/e related Twitter-sites.
2173,Download mobile application DESC: A user should be able to download the mobile application through either an application store or similar service on the mobile phone. The application should be free to download.
2174,"Download and notify users of new releases DESC: When a new/updated version or release of the software is released, the user should check for these manually. The download of the new release should be done through the mobile phone in the same way as downloading the mobile application."
2175,"User registration - Mobile application DESC: Given that a user has downloaded the mobile application, then the user should be able to register through the mobile application. The user must provide user-name, password and e-mail address. The user can choose to provide a regularly used phone number."
2176,"User log-in - Mobile application DESC: Given that a user has registered, then the user should be able to log in to the mobile application. The log-in information will be stored on the phone and in the future the user should be logged in automatically."
2177,"Retrieve password DESC: Given that a user has registered, then the user should be able to retrieve his/her password by e-mail."
2178,"Mobile application - Search DESC: Given that a user is logged in to the mobile application, then the first page that is shown should be the search page. The user should be able to search for a restaurant, according to several search options. The search options are Price, Destination, Restaurant type and Specific dish. There should also be a free text search option. A user should be able to select multiple search options in one search."
2179,"Mobile application - Search result in a map view DESC: Search results can be viewed on a map. On the map, the relevant and closest restaurants according to the userâ€™s position are shown. A specific pin will represent a specific restaurant location. On each pin there should be an information link. There should be maximally 100 results displayed. The map view should have a default zoom. The map view should include a button that, when selected, should display different filtering options in a filtering menu."
2180,"Mobile application - Search result in a list view Search results can be viewed in a list. Each element in the list represents a specific restaurant. Each element should include the restaurant name, telephone number, type of food, distance according to the userâ€™s position, average price, a short two-line description, a link to the restaurantâ€™s web-page and an information link. There should be maximally 100 results displayed. If the result contains more restaurants than what can be displayed on the screen at one time, the user should be able to scroll through them. When searching by price the restaurants should be sorted according to the following order: 1. average price 2. distance 3. restaurant type 4. specific dish When searching by a search option, other than price, the restaurants should be sorted according to the following order: 1. distance 2. average price 3. restaurant type 4. specific dish The list view should include a header with different selectable sorting options. The list view should include a button that, when selected, should display different filtering options in a filtering menu."
2181,"Mobile application - Navigation to restaurant DESC: A user should be able to select a pin on a map or an element on a list. When a selection is made, the location of the restaurant should be sent to the mobile phoneâ€™s GPS-navigation program. The user should then be navigated to the destination. When the destination is reached, a user should be able to go back to the search page on the mobile application."
2182,Mobile application - Switch result view DESC: A user should be able to switch between a map view and a list view for all search options.
2183,"Mobile application - Selecting the information link DESC: A user should be able to select the information link, which is included on all result items. The link will direct the user to an information page, which includes a picture of the restaurant, the restaurant name, address, phone number, e-mail address, type of food, average price, restaurant description and a menu with name, description and price of the different dishes."
2184,Mobile application - Search by price DESC: A user should be able to input a maximum and a minimum price range. The result is displayed in a list view by default.
2185,"Mobile application - Search by destination DESC: A user should be able to input a maximum and a minimum distance, according to his/her position. By default the minimum distance is set to 0 km and the maximum to 10 km. The user should be able to input a higher or lower maximum distance and a higher minimum distance than set by default. The result is displayed in a map view by default."
2186,Accepted input for price and destination search DESC: Integers should be accepted as input when a user searches by price or destination. If the system receives an invalid input the user should be informed and prompted to insert an accepted input.
2187,Mobile application - Search by restaurant type DESC: A user should be able to select a restaurant type in a given list as input. The result is displayed in a map view by default.
2188,Mobile application - Search by specific dish DESC: A user should be able to select a specific dish in a given list as input. The result is displayed in a map view by default.
2189,"Mobile application - Free-text search DESC: A user should be able to conduct a search by providing either restaurant name, restaurant description, restaurant address, restaurant type or restaurant menu in the free-text search field. The result is displayed in a map view by default."
2190,Mobile application - No match found DESC: If no match is found the user should be informed but kept on the search page in order to get the possibility to conduct a new search right away.
2191,"Mobile application - Sorting results DESC: When viewing the results in a list, a user should be able to sort the results according to price, distance, restaurant type, specific dish or restaurant name. When sorting by restaurant name, specific dish or restaurant type the results should be ordered alphabetically. When sorting by price the results should be ordered from cheapest to most expensive. When sorting by distance the results should be ordered from closets to furthest distance according to the userâ€™s position. When the sort button for a specific search option is clicked, then the order should be reversed and ordered in a descending matter. If the sort button is clicked again the order of the results should be reversed."
2192,"Mobile application - Filtering results DESC: When viewing the results in a list or a map, a user should be able to filter the results in a filtering menu. The filtering options include: increasing or decreasing the maximum distance increasing or decreasing the maximum price choosing a restaurant type choosing a specific dish"
2193,"Mobile application - Profile page DESC: On the mobile application, a user should have a profile page. On the profile page a user can edit his/her information, which includes the password, e-mail address and phone number. A user should also be able to choose what language the mobile application should be set to. The different language choices are Swedish, English, Spanish and French."
2194,Required information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user-name And password And address And e-mail address And phone number Then the restaurant owner should be able to apply for verification 
2195,Full information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user name And password And address And e-mail address And phone number And mobile number Then the restaurant owner should be able to apply for verification
2196,Confirmed registration Given the restaurant owner has applied for verification And has not received a confirmation e-mail after registration When the restaurant owner receives a confirmation e-mail Then the restaurant owner should be able to log in
2197,Successful log-in Given the restaurant owner wants to log in When the restaurant owner logs in with his/her account Then the restaurant owner should be logged in as a restaurant owner
2198,Retrieve password Given the restaurant owner wants to log in And has lost the password When the restaurant owner enters his/her email address in the â€œRetrieve passwordâ€ form And submits the form Then the restaurant owner should receive an email containing the password
2199,Show fields for managing information Given the restaurant owner is logged in When the restaurant owner wants to manage information Then the restaurant owner should be able to manage information in a form
2200,Filling in mandatory fields Given the restaurant owner wants to fill in the mandatory fields of the form When the restaurant owner provides average price And address And e-mail address And phone number And restaurant name Then the restaurant owner has filled the mandatory fields of the form
2201,Filling in optional fields Given the restaurant owner of a restaurant wants to fill in optional fields in the form When the restaurant owner provides restaurant description And menu And type of restaurant And picture of restaurant And mobile phone Then the restaurant owner has filled in optional fields in the form
2202,Filling in menu field Given the restaurant owner wants to fill in the menu field in the form When the restaurant owner provides dish name And dish description And dish price Then the restaurant owner has filled in the menu field in the form
2203,Adding information with mandatory fields Given the restaurant owner has filled in the mandatory fields of the form When the restaurant owner submits the form Then the information about the restaurant should be added
2204,Adding information with mandatory and optional fields Given the restaurant owner has filled in the mandatory fields of the form And filled in one or more optional fields of the form When the restaurant owner submits the form Then the information about the restaurant should be added
2205,Deleting information Given the restaurant owner is logged in And information exists When the restaurant owner deletes information Then the information should be deleted
2206,Editing information Given the restaurant owner is logged in And information exists When the restaurant owner edits information Then the information should be edited
2207,Select English as preferred language Given the restaurant owner wants to select a preferred language When the restaurant owner selects English as a new language Then the web-portal will show all text in English
2208,Select Swedish as preferred language Given the restaurant owner wants to select a preferred language When the restaurant owner selects Swedish as a new language Then the web-portal will show all text in Swedish
2209,Select French as preferred language Given the restaurant owner wants to select a preferred language When the restaurant owner selects French as a new language Then the web-portal will show all text in French
2210,Select Spanish as preferred language Given the restaurant owner wants to select a preferred language When the restaurant owner selects Spanish as a new language Then the web-portal will show all text in Spanish
2211,Successful log-in Given the administrator wants to log in When the administrator logs in with an administrator account Then the administrator should be logged in as an administrator
2212,Verify a restaurant owner Given the administrator is logged in When the administrator verifies a restaurant owner Then the restaurant owner should be able to log in And the restaurant owner should be notified by a confirmation email
2213,Reject a restaurant owner Given the administrator is logged in When the administrator rejects a restaurant owner Then the restaurant owner should not be able to log in And the restaurant owner should be notified by a rejection email
2214,Add a new restaurant type Given the administrator is logged in When the administrator creates a new restaurant type Then the new restaurant type should be added to the list of restaurant types
2215,Editing an existing restaurant type Given the administrator is logged in When the administrator edits an existing restaurant type Then the restaurant type should be updated in the list of restaurant types
2216,Delete a restaurant type Given the administrator is logged in When the administrator deletes a restaurant type Then the deleted restaurant type should be removed from the list of restaurant types
2217,Add a new dish Given the administrator is logged in When the administrator creates a new dish Then the new dish should be added to the list of dishes
2218,Editing an existing dish Given the administrator is logged in When the administrator edits an existing dish Then the dish should be updated in the list of dishes
2219,Delete a dish Given the administrator is logged in When the administrator deletes a dish Then the deleted dish should be removed from the list of dishes
2220,Add restaurant information Given the administrator is logged in When the administrator adds restaurant information Then the information should be added to the restaurant
2221,Delete restaurant information Given the administrator is logged in And information about a restaurant exists When the administrator deletes the information Then the information about the restaurant should be deleted
2222,Edit restaurant information Given the administrator is logged in And information about a restaurant exists When the administrator edits the information Then the information about the restaurant should be edited
2223,Edit an existing userâ€™s information Given the administrator is logged in When the administrator edits an existing user Then the user information should be updated
2224,Delete/Inactivate an existing user Given the administrator is logged in When the administrator deletes an existing user Then the user should be deleted
2225,Add a new restaurant owner Given the administrator is logged in When the administrator creates a new restaurant owner Then the new restaurant owner should be added
2226,Edit an existing restaurant owner Given the administrator is logged in When the administrator edits an existing restaurant owner Then the restaurant owner information should be updated
2227,Delete an existing restaurant owner Given the administrator is logged in When the administrator deletes an existing restaurant owner Then the restaurant owner should be deleted And the restaurant information should be deleted
2228,Select English as preferred language Given the administrator wants to select a preferred language When the administrator selects English as a new language Then the web-portal will show all text in English
2229,Select Swedish as preferred language Given the administrator wants to select a preferred language When the administrator selects Swedish as a new language Then the web-portal will show all text in Swedish
2230,Select French as preferred language Given the administrator wants to select a preferred language When the administrator selects French as a new language Then the web-portal will show all text in French
2231,Select Spanish as preferred language Given the administrator wants to select a preferred language When the administrator selects Spanish as a new language Then the web-portal will show all text in Spanish
2232,Prominent search feature DESC: The search feature should be prominent and easy to find for the user.
2233,"Usage of the search feature DESC: The different search options should be evident, simple and easy to understand."
2234,Usage of the result in the list view DESC: The results displayed in the list view should be user friendly and easy to understand. Selecting an element in the result list should only take one click.
2235,Usage of the result in the map view DESC: The results displayed in the map view should be user friendly and easy to understand. Selecting a pin on the map should only take one click.
2236,Usage of the information link DESC: The information link should be prominent and it should be evident that it is a usable link. Selecting the information link should only take one click.
2237,"In this case, user enters his/her username, name, surname, password, mail address sets a profile photo. When the user fills all necessary fields, an activation mail will be sent to users mail address. User will be able to log in and start using the system just after activating his/her account."
2238,"In this case, user enters his/her username or email and his/her password and logs in the system."
2239,"In this case, user touches log out button, and logs out of the system. The user will not use the system until he/she logs in again."
2240,"In this case, user is able to search items. User can search items according to their price, their location, their category."
2241,"In this case, user is able to browse the profiles other users. User can see the other users user names, profile photos, and the usersâ€™ items."
2242,"In this case, user is able to browse categories according to his/her wishes. User can also see how many items each category has."
2243,"In this case, user is able browse items. User can see the itemsâ€™ pictures, prices, and other features."
2244,"In this case, user can change his/her username, email address, profile picture and password. If the user changes his/her username or password, a notification mail will be sent to the userâ€™s email address. The changes will apply if the user clicks on the link in the email."
2245,"In this case, user can buy credits from the system. He/she can use credit card or his/her PayPal account."
2246,"In this case, user can add the items he/she likes to his cart by touching â€œAdd to the cartâ€ button."
2247,"In this case, the user can buy items he/she has added to cart with credits, if the items are available for buying with credits."
